name,pro,flag,optical_pro,original_pro
output(23),0.5627109408503651,1,0.12550940913476144,0.9999124725659688
output(3),0.8048523683074176,1,0.8579688457097729,0.7517358909050623
output(33),0.9351417174808605,1,0.8735456428671725,0.9967377920945485
output(53),0.8820246451111489,1,0.7640602912529019,0.999988998969396
output(54),0.5010496994520826,1,0.0020995419553124796,0.9999998569488525
output(57),0.5006464372158834,1,0.0012928744317668704,1.0
output(62),0.5465528058958915,1,0.09312116264360501,0.9999844491481781
output(93),0.9303191097517466,1,0.8606396619358967,0.9999985575675965
output(94),0.7124378537069579,1,0.48794029552356794,0.9369354118903478
output-2024-01-18T164517.622,0.42641557644415257,1,0.03182174383319136,0.8210094090551138
output-2024-01-18T164520.342,0.5101393776611024,1,0.09908195584526326,0.9211967994769414
output-2024-01-18T164547.157,0.5740094367561822,1,0.4388659882342985,0.709152885278066
output-2024-01-18T164558.938,0.5304749894601415,1,0.28631501663969156,0.7746349622805914
output-2024-01-18T164635.235,0.7539058394954893,1,0.5078874364944881,0.9999242424964905
output-2024-01-18T164649.598,0.6550918682894948,1,0.31018389155106607,0.9999998450279236
output-2024-01-18T164811.762,0.5001159655115335,1,0.0006827924770770207,0.99954913854599
output-2024-01-18T164830.699,8.176656557111979e-05,1,0.0001635289021563383,4.228985901281549e-09
output-2024-01-18T165657.236,0.4817192234108748,1,0.13842547983127873,0.8250129669904709
output-2024-01-18T170212.141,0.827135593591836,1,0.6542828339312611,0.9999883532524109
output-2024-01-18T170449.230,0.3257529982443278,1,0.5618336538473765,0.0896723426412791
output-2024-01-18T170734.029,0.9837860055868664,1,0.967573661477335,0.9999983496963978
output-2024-01-18T170814.908,0.3456521418049877,1,0.6828938826325729,0.008410400977402532
output-2024-01-18T170947.481,0.6346016911269683,1,0.2714904161992587,0.997712966054678
output-2024-01-18T171233.636,0.970112880872142,1,0.9402511272459261,0.9999746344983578
output-2024-01-18T171559.536,0.6531785952747062,1,0.319379728823939,0.9869774617254734
output-2024-01-18T171821.183,0.23215028498647902,1,0.11563907227199859,0.34866149770095944
output-2024-01-18T171925.357,0.04512383336646053,1,0.09014420650055399,0.0001034602323670697
output-2024-01-18T171938.591,0.8245955439168029,1,0.6491911325370893,0.9999999552965164
output-2024-01-18T173405.398,0.4932667781679843,1,0.12418390768647483,0.8623496486494938
output-2024-01-18T173528.240,0.7100822115579072,1,0.427638021039729,0.9925264020760854
output-2024-01-18T173555.167,0.8274924415574301,1,0.6549848831148603,1.0
output-2024-01-18T173620.745,0.7883841101693951,1,0.5915382771428116,0.9852299431959788
output-2024-01-18T174159.340,0.5293471302967371,1,0.060168082789798814,0.9985261778036754
output-2024-01-18T175147.929,0.5057501140878085,1,0.011512224603788776,0.9999880035718282
output-2024-01-18T175204.570,0.25045229581820355,1,0.03481316830992471,0.4660914233264824
output-2024-01-18T175223.427,0.003987879989485005,1,0.0063023090055621565,0.001673450973407853
output-2024-01-18T175246.635,0.31548458018583714,1,0.07504361527527692,0.5559255450963974
output-2024-01-18T175311.428,0.7452500691004472,1,0.49525980353114546,0.9952403346697489
output-2024-01-18T175313.747,0.7507930293806023,1,0.5015863051270697,0.999999753634135
output-2024-01-18T175455.075,0.4889366960668961,1,6.451436757984519e-06,0.9778669406970342
output-2024-01-18T181617.625,0.4501525163685125,1,6.63996435050723e-06,0.9002983927726745
output-2024-01-18T181625.009,0.6051886110072161,1,0.21037722201443226,1.0
output-2024-01-18T182454.404,0.9134012349792917,1,0.8268024699585833,1.0
output-2024-01-18T182506.584,0.5527835139560247,1,0.10828625141134737,0.9972807765007019
output-2024-01-18T182527.358,0.043527537394996096,1,0.015129446102193845,0.07192562868779835
output-2024-01-18T182700.167,0.8328416393243618,1,0.6980705902190699,0.9676126884296536
output-2024-01-18T182703.292,0.9562989896268494,1,0.9883605337912037,0.9242374454624951
output-2024-01-18T182710.206,0.5304317411423214,1,0.1455694008463099,0.9152940814383328
output-2024-01-18T182923.897,0.6844895156474498,1,0.36899381324680386,0.9999852180480957
output-2024-01-18T182936.364,0.871172727585433,1,0.7423454551708659,1.0
output-2024-01-18T182952.815,0.948748134360274,1,0.8975104347577897,0.9999858339627584
output-2024-01-18T182958.391,0.02789522679305545,1,0.05578794929897413,2.5042871367730868e-06
output-2024-01-18T183202.203,0.9584876396532717,1,0.9169752793065433,1.0
output-2024-01-18T183833.517,0.621403337748632,1,0.24280680265383942,0.9999998728434245
output-2024-01-18T183858.015,0.9777994573544497,1,0.9555989306034713,0.999999984105428
output-2024-01-18T183922.876,0.5434884359620308,1,0.08911973837659669,0.997857133547465
output-2024-01-18T183934.058,0.5340245118188286,1,0.1505002822374152,0.9175487414002419
